"Source","Bias","Reliability"
"Glenn Beck","Bias: 24.07","Reliability: 20.11"
"Global News","Bias: -3.88","Reliability: 45.43"
"Good News Network","Bias: -0.88","Reliability: 43.34"
"Hartford Courant","Bias: -0.79","Reliability: 48.02"
"Heavy","Bias: -1.65","Reliability: 43.96"
"Hill Reporter","Bias: -13.94","Reliability: 35.91"
"Houston Chronicle","Bias: 0.0","Reliability: 0.0"
"HuffPost","Bias: -12.94","Reliability: 39.42"
"In These Times","Bias: -18.56","Reliability: 35.08"
"Independent Journal Review","Bias: 3.18","Reliability: 41.75"
"Indianapolis Star","Bias: -2.42","Reliability: 48.04"
"InfoWars","Bias: 27.42","Reliability: 11.80"
"Inquisitr","Bias: -6.31","Reliability: 32.63"
"Inside Climate News","Bias: -8.56","Reliability: 45.46"
"Jacobin","Bias: -22.79","Reliability: 28.82"
"Jezebel","Bias: -19.77","Reliability: 28.14"
"Judicial Watch","Bias: 23.21","Reliability: 23.38"
"Kansas City Star","Bias: -6.21","Reliability: 43.23"
"LA Times","Bias: -7.06","Reliability: 46.35"
"Laconia Daily Sun","Bias: 0.40","Reliability: 45.36"
"Las Vegas Review-Journal","Bias: 0.65","Reliability: 43.28"
"Life News","Bias: 22.52","Reliability: 23.08"
"LifeZette","Bias: 23.44","Reliability: 20.65"
"MarketWatch","Bias: -5.68","Reliability: 44.89"
"Mashable","Bias: -10.23","Reliability: 40.39"
"MEDIAite","Bias: -11.21","Reliability: 40.02"
"Mercury News","Bias: -3.39","Reliability: 46.66"
"Military Times","Bias: -0.30","Reliability: 47.51"
"Milwaukee Journal Sentinel","Bias: -6.14","Reliability: 47.73"
"Montana Free Press","Bias: -3.04","Reliability: 46.56"
"Mother Jones","Bias: -15.36","Reliability: 39.19"
"MSNBC","Bias: -13.90","Reliability: 40.86"
"National Enquirer","Bias: 6.83","Reliability: 11.43"
"National File","Bias: 23.52","Reliability: 17.60"
"National Review","Bias: 17.04","Reliability: 31.86"
"Natural News","Bias: 32.18","Reliability: 7.61"
"NBC News","Bias: -7.50","Reliability: 46.43"
"New Republic","Bias: -17.95","Reliability: 35.61"
"New York Daily News","Bias: -7.31","Reliability: 41.36"
"New York Magazine","Bias: -9.33","Reliability: 41.99"
"New York Post","Bias: 13.91","Reliability: 33.32"
"New York Times","Bias: -8.25","Reliability: 45.46"
"News and Guts","Bias: -13.11","Reliability: 35.74"
"NewsBusters","Bias: 21.48","Reliability: 28.09"
"Newsday","Bias: -1.63","Reliability: 48.49"
"Newser","Bias: -6.43","Reliability: 43.95"
"Newsmax","Bias: 17.23","Reliability: 29.82"
"NewsNation Now","Bias: 1.76","Reliability: 44.58"
"NewsOne","Bias: -13.33","Reliability: 35.48"
"NewsPunch","Bias: 23.19","Reliability: 18.01"
"Newsweek","Bias: -8.55","Reliability: 37.72"
"Newsy","Bias: -2.79","Reliability: 48.19"
"NJ.com","Bias: -3.17","Reliability: 46.69"
"NOLA.com","Bias: -1.94","Reliability: 48.52"
"NowThis News","Bias: -7.86","Reliability: 41.25"
"NPR","Bias: -4.41","Reliability: 47.97"
"OAN Network","Bias: 20.39","Reliability: 19.75"
"Occupy Democrats","Bias: -24.07","Reliability: 23.23"
"Omaha World-Herald","Bias: 0.13","Reliability: 47.12"
"Orlando Sentinel","Bias: -2.86","Reliability: 49.28"
"OZY","Bias: -7.70","Reliability: 37.74"
"Palmer Report","Bias: -25.68","Reliability: 17.35"
"Patch","Bias: -5.75","Reliability: 48.00"
"PBS","Bias: -4.81","Reliability: 48.40"
"Pittsburgh Post-Gazette","Bias: -0.48","Reliability: 48.65"
"PJ Media","Bias: 23.70","Reliability: 22.12"
"Politico","Bias: -7.25","Reliability: 44.42"
"Politicus USA","Bias: -15.67","Reliability: 31.57"
"Politifact","Bias: -3.96","Reliability: 45.84"
"Popsugar","Bias: -12.54","Reliability: 35.27"
"Popular Information","Bias: -15.56","Reliability: 40.07"
"Poynter","Bias: -7.94","Reliability: 41.01"
"PragerU","Bias: 18.99","Reliability: 23.03"
"ProPublica","Bias: -7.39","Reliability: 47.55"
"Quartz","Bias: -4.78","Reliability: 44.18"
"Quillette","Bias: 12.47","Reliability: 36.86"
"Radio Times","Bias: 0.00","Reliability: 39.73"
"Rasmussen Reports","Bias: 12.97","Reliability: 41.15"
"Raw Story","Bias: -17.74","Reliability: 32.45"
"Real News Network","Bias: -18.64","Reliability: 36.35"
"RealClear Politics","Bias: 13.06","Reliability: 36.08"
"Reason","Bias: 9.77","Reliability: 38.13"
"RedState","Bias: 23.98","Reliability: 21.39"
"Reuters","Bias: -1.76","Reliability: 50.42"
"Right Wing Watch","Bias: -18.27","Reliability: 27.61"
"Roll Call","Bias: -3.79","Reliability: 47.32"
"RT","Bias: 14.38","Reliability: 30.04"
"Rush Limbaugh","Bias: 26.77","Reliability: 15.73"
"Salon","Bias: -18.52","Reliability: 36.14"
"Salt Lake Tribune","Bias: -2.06","Reliability: 46.81"
"San Diego Union-Tribune","Bias: -0.81","Reliability: 48.01"
"San Francisco Chronicle","Bias: -7.01","Reliability: 45.35"
"SeattlePI","Bias: -0.79","Reliability: 43.27"
"Second Nexus","Bias: -19.57","Reliability: 25.02"
"SF Examiner","Bias: -4.11","Reliability: 44.09"
"SFGate","Bias: -1.62","Reliability: 45.97"
"Shadowproof","Bias: -23.84","Reliability: 34.92"
"Sky News","Bias: -2.97","Reliability: 45.16"
"Slate","Bias: -16.05","Reliability: 36.63"
"Smithsonian Magazine","Bias: -3.72","Reliability: 45.50"
"Snopes","Bias: -0.78","Reliability: 46.90"
"Sojourners","Bias: -11.89","Reliability: 38.85"
"South China Morning Post","Bias: -4.74","Reliability: 41.57"
"Sputnik International News","Bias: 9.16","Reliability: 35.81"
"St. Louis Post-Dispatch","Bias: -8.99","Reliability: 44.61"
"Star Tribune-Minneapolis","Bias: -4.17","Reliability: 46.79"
"Stars and Stripes","Bias: 0.46","Reliability: 49.06"
"Sun Sentinel","Bias: -3.70","Reliability: 45.38"
"Syracuse Post-Standard","Bias: -2.43","Reliability: 47.38"
"Talking Points Memo","Bias: -9.29","Reliability: 41.76"
"Tampa Bay Times","Bias: -1.65","Reliability: 46.00"
"Tangle","Bias: 1.76","Reliability: 43.49"
"TechCrunch","Bias: -0.29","Reliability: 46.25"
"Teen Vogue","Bias: -14.21","Reliability: 40.21"
"Tennessean","Bias: -1.97","Reliability: 47.60"
"The American Conservative","Bias: 13.72","Reliability: 32.39"
"The American Spectator","Bias: 24.63","Reliability: 19.90"
"The Atlantic","Bias: -10.61","Reliability: 41.83"
"The Bulwark","Bias: -6.91","Reliability: 35.11"
"The Business Journals","Bias: -0.34","Reliability: 46.42"
"The Christian Post","Bias: 10.08","Reliability: 39.57"
"The College Fix","Bias: 9.48","Reliability: 39.33"
"The Dispatch","Bias: 4.25","Reliability: 42.82"
"The Economist","Bias: -3.79","Reliability: 44.41"
"The Evening Times","Bias: 1.48","Reliability: 41.71"
"The Federalist","Bias: 20.72","Reliability: 25.47"
"The Gateway Pundit","Bias: 25.35","Reliability: 17.41"
"The Guardian","Bias: -9.91","Reliability: 44.54"
"The Hill","Bias: -0.26","Reliability: 45.10"
"The Independent","Bias: -10.78","Reliability: 41.60"
"The Intercept","Bias: -15.71","Reliability: 40.51"
"The Last Refuge","Bias: 27.13","Reliability: 17.88"
"The Nation","Bias: -17.94","Reliability: 34.37"
"The New American","Bias: 22.74","Reliability: 17.69"
"The New Yorker","Bias: -11.75","Reliability: 40.20"
"The Oregonian","Bias: -3.95","Reliability: 49.08"
"The Progressive","Bias: -18.46","Reliability: 34.73"
"The Right Scoop","Bias: 22.85","Reliability: 20.04"
"The Root","Bias: -21.19","Reliability: 29.06"
"The Skimm","Bias: -6.32","Reliability: 42.61"
"The Trace","Bias: -6.64","Reliability: 45.75"
"The Verge","Bias: -4.85","Reliability: 44.06"
"The Weather Channel","Bias: -0.88","Reliability: 51.17"
"The Week","Bias: -13.35","Reliability: 31.99"
"TheGrio","Bias: -10.60","Reliability: 42.15"
"Time Magazine","Bias: -9.83","Reliability: 44.14"
"TMZ","Bias: -11.53","Reliability: 36.40"
"Townhall","Bias: 20.86","Reliability: 23.13"
"Truthout","Bias: -19.70","Reliability: 28.91"
"Turning Point USA","Bias: 17.28","Reliability: 20.34"
"Twitchy","Bias: 21.29","Reliability: 16.20"
"UPI","Bias: -1.33","Reliability: 47.69"
"Upworthy","Bias: -3.94","Reliability: 39.98"
"US News and World Report","Bias: -3.96","Reliability: 45.18"
"USA Today","Bias: -4.55","Reliability: 45.47"
"Vanity Fair","Bias: -15.90","Reliability: 36.36"
"Variety","Bias: -6.62","Reliability: 41.74"
"Vice","Bias: -11.53","Reliability: 41.92"
"Voice of America","Bias: -2.83","Reliability: 47.37"
"Vox","Bias: -11.26","Reliability: 41.31"
"Wall Street Journal","Bias: 6.21","Reliability: 47.41"
"Washington Examiner","Bias: 15.24","Reliability: 32.01"
"Washington Free Beacon","Bias: 14.34","Reliability: 38.07"
"Washington Monthly","Bias: -16.61","Reliability: 30.10"
"Washington Post","Bias: -6.95","Reliability: 44.68"
"Washington Times","Bias: 16.35","Reliability: 27.04"
"Washingtonian","Bias: -2.75","Reliability: 43.73"
"Western Journal","Bias: 20.87","Reliability: 26.90"
"WND","Bias: 23.28","Reliability: 19.68"
"Wonkette","Bias: -27.93","Reliability: 17.45"
"WorldTruth.TV","Bias: 25.45","Reliability: 8.19"
"ZeroHedge","Bias: 12.82","Reliability: 28.67"
