"Headline","Bias","Reliability"
"Pete Buttigieg Talks Being Gay in Conservative States","-22","35.75"
"Bigot, Alleged Pedophile Roy Moore Tops GOP Senate Field in Poll","-15.5","33.25"
"Tucker Carlson: 'Dems Want to Consume Every Drop of Buttigieg... Yum'","-19.5","25.25"
"Supreme Court Won't Hear Hawaii B&B's 'Right to Discriminate' Case","-12.5","43.25"
"Trump's Trans Military Ban Can Now Go Into Effect","-14.67","53"
"Brazilian Pres: Trump Supports 'Traditional Families' Like I Do","-20.33","47.33"
"Former Campaign Staffer Sues Trump, Alleging Unwanted Kiss","-8","38"
"South Dakota Rejects Fourth and Final Anti-Transgender Bill","-11.67","52.67"
"Coachella Fest, Owned by GOP Donor, Accused of Anti-Trans Bias","-30","19.67"
"How Queer Asians Can Be Good Allies to Black Brothers and Sisters","-22","25.67"
"Tucker Carlson misrepresents government data on Covid-19 vaccines","-1.6","47.8"
"Potato Head toys, Dr. Seuss’ books are not ‘canceled’","0","51"
"Quotes from US Democrats falsely characterized as calls for violence","-11.33","28.33"
"Human error in Michigan county vote tally sparks claims of election fraud","0","47.67"
"Tweets on US stimulus misrepresent Canada's Covid-19 aid","0","47"
"This video shares a misleading claim from an Austrian politician that 'Coca-Cola tested positive for Covid-19'","0","46"
"Four seasons in Wuhan","0","40"
"Photo of man in Trump hat does not show Nashville bomber","0","45.67"
"Misleading claim circulates online in Thailand that high air pollution will significantly increase the country’s Covid-19 mortality rate","0","47"
"Claims of Nevada voter fraud rejected by state’s top court","0","48"
"Map does not show ‘actual results’ of 2020 US election","-1.67","48"
"Report alleging election fraud in Michigan county is ‘baseless’","-3","47.67"
"Social media posts share doctored Trump tweet alongside false claim he declared martial law","-2.67","49.67"
"Conspiracy theory links false claim of AT&T election audit to bombing","-1.67","48.33"
"Old photo of detained US police chief circulated in false social media posts about ‘arrest of Biden’s executive assistant on spying charges’","-0.33","50.67"
"France recalls envoy after Erdogan jibe at Macron","0","52"
"Biden accuses Trump of giving up in Covid fight","-3","47"
"Seven held after British military boards threatened oil tanker in English Channel","0","50.33"
"US puts China 'aggression' at heart of India talks","0.67","46.67"
"Five dead, dozens wounded in attack on Afghan police base","0","50"
"Spain declares virus emergency as global cases soar","-2.33","49"
"Sudanese split over normalising relations with Israel","0","54"
"First stage of Egypt parliament elections wraps up","0","49"
"Berlin police break up demo as coronavirus tensions mount","0","51.67"
"Armenia, Azerbaijan agree anew to ceasefire: US","-2","49.67"
"Israel is waging a war on truth in Gaza","-4","34.67"
"First 100 days: Is Joe Biden really transformative?","-16.33","34"
"Calls grow for stricter gun control amid string of US shootings","-4","49.67"
"Biden stumbles climbing ‘windy’ steps to Air Force One","-0.67","45.67"
"US: Severe cold, power outages cause major water problems","-4.71","47.71"
"Whether Trump ‘incited’ Capitol riot is in eye of the beholder","-1.33","41.67"
"In Pictures: The storming of the US Capitol building","-5.67","47.67"
"Will there ever be accountability for murder of Jamal Khashoggi?","-6","36.67"
"Trump and wife Melania test positive for COVID-19","-4.33","50"
"New York AG seeks to 'dissolve' US National Rifle Association","-5","49.33"
"Trump's roadblock: The ACLU filed 400 cases against Trump so far","-3","50.33"
"Learning 'pods': a new solution to the coronavirus school crisis","-12.5","41.5"
"US top COVID doctor Fauci says his family has received threats","-9.33","34.33"
"US: Virginia court denies two appeals in far-right rally beating","-4.33","36"
"US House approves bill reversing Trump's 'Muslim ban'","-7","42"
"Congressional critics savage US FEMA chief for pandemic response","-8.67","38"
"Trump hints at closure of more Chinese consulates as China fumes","-5.33","43.67"
"The new school year: A US election hot topic and an opportunity","-3.67","44.33"
"Global coronavirus infections exceed 15 million: Live updates","0","49.67"
"US officials defend deployment of federal officers to Portland","-3.88","43.38"
"Turkey eyes US sanctions waivers on Iran oil, Russia arms","-1.25","48.25"
"Trump vetoes bill to end US involvement in Yemen war","-0.75","48"
"US: Asylum seekers who show credible fear not eligible for bond","-6","50.5"
"US allowing lawsuits over properties seized by Castro's Cuba","-5","50.5"
"Mueller report to be released on Thursday: What you won't see","-1.67","46"
"On gun control, police shootings and living out ‘Groundhog Day’","-1","37.67"
"USA faculty, graduates want university to denounce racism after Halloween photo controversy","-5.67","46.67"
"An uncomfortable $15 minimum wage column","4.75","36.75"
"Boaz police looking for missing woman","0","49"
"What would a Monday night schedule change mean for Alabama’s game prep?","0","42.67"
"Alabama cattle auctions, poultry processors can apply for CARES Act funds","0","48.67"
"Walmart to restart counting, limiting people in stores","0","48.67"
"COVID-19 vaccine in Alabama will be free, first doses could be available by December","0","47.25"
"Decades before Black Lives Matter, Bonita Carter changed Alabama forever","-6","45.75"
"Tuberville flipped most of the urban counties in Alabama back to the GOP","-1","47"
"Medical marijuana reaches Mississippi: will it come to Alabama next?","-3","49.67"
"Lt. Gov. Will Ainsworth claims ‘Democrats’ paid $6 for Jones votes","1.67","47.33"
"Tommy Tuberville to out-of-state 'liberals’ who gave to Jones: ‘Go to hell’","1.33","47.67"
"Coronavirus numbers improving in north Alabama, but officials wary of Labor Day holiday","0","46"
"Back-to-school in Alabama 2020: More schools push back start dates; Plexiglas desk dividers","0","44.33"
"57 coronavirus deaths, highest 1-day total yet, as state passes 70,000 case mark: County updates","-5.33","53.67"
"Buc-ee’s could open in January 2021, Leeds mayor says","1.67","40.67"
"Birmingham City Schools going virtual for first quarter","-1.33","51.67"
"Man charged with 9 sex crimes after 2 teen girls rescued from Bessemer home","0.33","43.67"
"Slain Montgomery teen was attacked with metal pole, stabbed with knife during robbery, records show","0.67","51"
"'Democrats will lose in 2022': Anger Grows as Biden bows to un-elected parliamentarian on $15 minimum wage","-19.75","35.5"
"The disturbing and cruel psychology of Marjorie Taylor Greene","-21.75","27"
"'None of it has come true!' Disillusioned QAnon follower admits she's starting to lose faith","0","42.67"
"Conservative site suddenly retracts op-ed denying there was a 'riot' at the Capitol","-7.33","35"
"Trump's now-violent plot to retain power demands that he be impeached again","-12.6","36.8"
"Trump White House memo says ‘no place’ for ‘critical race theory’ in US government while moving to end diversity trainings","-19.67","40"
"‘Political theater’: Analyst explains why Ted Cruz’st hearing on violence at protests was a deceptive farce","-17.14","32.71"
"Judge ‘fast-tracks’ Census lawsuit against Trump administration — tells DOJ attorney ‘it is what it is’","-21","36"
"Ron DeSantis admits Florida’s unemployment system is full of ‘pointless roadblocks’ that make it intentionally hard to apply for benefits","-19.5","38"
"Republicans are privately expressing a ‘growing sense of doom’ as polls look grim: report","-10.33","33"
"Trump launches delusional and bewildering rant against Biden: ‘He’s against God!’","-22.67","23.33"
"Trump threatens to ban popular social media app TikTok ‘with an executive order’","-13.83","37.33"
"Bill Barr could face probe after 4 ex-presidents of DC Bar Association sign complaint detailing his abuse of office","-12.67","43"
"‘What in the hell are we doing?’: Ted Cruz and Tom Cotton clash over coronavirus spending — foreshadowing a bitter battle in post-Trump GOP","-16.33","30.67"
"Trump horrifies viewers with warm wishes for accused sex trafficker Ghislaine Maxwell","-21.33","30.67"
"Trump’s acting Homeland Security secretary just made a damning admission on Fox News","-20","25.33"
"Even Republicans are warning Trump’s DHS is turning into ‘the president’s personal militia’","-19","28.33"
"Trump lashes out at the bipartisan lawmakers who condemned his support for the war in Yemen","-20","22.5"
"A cognitive scientist explains why everyone is at risk of falling for fake news — and how to resist it","-8.33","37.33"
"House Republicans are trying to stonewall voter suppression investigations","-21.33","26.67"
"‘He is going to go bonkers’: Former prosecutor reveals how Trump could violate the law if he overreacts to the Mueller report","-18.5","23"
"Now Trump thinks even Fox News is biased against him","-14.67","31.33"
"White nationalists have infiltrated the US military","-24","20"
"‘This needs to be exposed’: Top Intel Democrat reveals how the Kremlin was ‘facilitating a cover up by’ Trump","-22","28"
"Mueller just dropped a hint that his team could be working on something big","-18.67","16.33"
"Liz Cheney and the ‘Big Lie’ › American Greatness","22.5","13"
"Do Vaccine Resisters Risk Being Waco’d?","18.67","28.33"
"Morning Greatness: Rest in Peace Rush Limbaugh","15.25","30.5"
"How Libertarians Aid and Abet Oligarchy","18.33","27"
"National Guard Allowed Back into Capitol After Forced Out to Parking Garage","11.67","44.33"
"Biden Reinstates ‘Diversity Training’ in the Federal Government","13.33","35.33"
"A ‘Cleansing’ Moment","7.67","32"
"The End of Free Speech and the Coming Dystopia","8.33","31.33"
"Joe Biden, B.S. Artist","13","30"
"A Tale of Two Senators","22","22"
"Grifting on a Dream","7.67","40.33"
"‘Trump Nation’ Numbers At Least 150 Million Americans","21.33","26.67"
"We Need a MAGA 2.0","21.33","29.33"
"Morning Greatness: Gird Your Loins","13.67","40.67"
"The Make-Believe Election","32","8.8"
"Spirit Murder, Lizard Brains and the Abolition of Whiteness","25.33","24.67"
"A Domestic Terrorism Bill Only Antifa Could Love","13.75","34.25"
"Morning Greatness: Welcome to the Jungle","21.33","23"
"Blame the Left, Not Trump, for America’s Crack-Up","26.67","15.67"
"American Greatness","28.33","16.67"
"A Daring Left and a Cowed Center","16.67","30.67"
"Ashamed of What?","31.67","17.33"
"Political Theater Won’t Work for the Right","21.67","26.67"
"Morning Greatness: Congress Certifies Biden Victory After Protestors Storm Capitol","7.67","38.67"
"Georgia Run-Off Marred By Election Irregularities","24.33","9"
"Trump refuses to concede despite losing election by more than 4 million votes","-12","37.67"
"Trump silent after an ally urges vigilantes to 'have a plan' to justify shootings","-23","32"
"McEnany says she's 'not engaging in conspiracy theories' seconds after promoting one","-16.67","33.33"
"GOP congressman falsely claims there have been no riots in Republican-led cities","-13.67","39.67"
"Trump administration is ignoring Supreme Court ruling on LGBTQ discrimination","-18","33.67"
"Rand Paul demands FBI arrest peaceful protesters for yelling at him","-15.67","35"
"Democratic convention wins ratings battle with millions more viewers than GOP's","-16","33.67"
"Trump's new postmaster general seems determined to undermine mail-in voting","-11","39"
"McConnell says his refusal to act on virus relief for months was a good thing","-20","28.67"
"Rep. Ted Yoho on his attack on Ocasio-Cortez: 'I cannot apologize for my passion'","-6.43","44.14"
"Trump campaign event to feature evangelical pastors and right-wing extremists","-21.67","31.67"
"Susan Collins refuses to endorse Trump because she's 'in a difficult race'","-16","43.33"
"GOP threatens to defund Democratic-controlled cities over protests","-12.56","38.67"
"GOP senator who promoted vacation bill received over $40,000 from travel industry","-12.11","37.78"
"Trump threatens to jail people for 10 years for removing racist statues","-11.29","42.57"
"Elizabeth Warren lets the cat out of the bag on Democrats' scheme to end patent protections on vital medical innovations","19.67","19.67"
"Where the heck is Joe Biden as anti-Semitic attacks engulf America?","22","18.33"
"The Two Uncle Joes","20.33","25"
"Local ‘Nonpartisan’ Elections Aren’t Really Nonpartisan","21","23.33"
"Kamala Harris can't keep staff","22","19.33"
"Identifying Lt. Colonel Matthew Lohmeier’s real sin","26","19.67"
"Will Vaccine Passports be America’s Version of Yellow Badges?","12.33","29.67"
"Planting the Flag: The States will be Sovereign","26.25","12"
"An Election Heist Too Big to Fail","29.25","11.5"
"Joe Biden walks away from inflation question","26","15"
"Statement","0","48"
"With Trump's COVID diagnosis, leftists are showing their inner ugliness","29","19.33"
"New Biden ad sets record for concentrated bluster in just 15 seconds","22","24.75"
"Who are the Proud Boys?","21.67","26.67"
"Blue States Secede? Make My Day","20.33","29"
"In the wake of Trump's COVID diagnosis, 'you don't know what you got 'til it's gone'","30","25.5"
"Trump flirts with banning Chinese-owned data-mining app, causes meltdown in Gen Z","21.83","29.67"
"Thank You, Democrat Governors, for Re-Electing President Trump!","21.25","28.75"
"The Coronavirus Is China's Fault","19","28.75"
"How Obama/Biden Wrecked the U.S. Medical Device Industry","18.5","35.25"
"1933 Film Shows Left’s Ageless Fondness for Fascism","22","32.25"
"Coronavirus and the Horrors of Democrat Control","23.25","22.5"
"Facebook Assists Dems in Shutting Down Bill of Rights","31.25","15.75"
"Killing Liberty, Coronavirus-Style","25.17","21.33"
"How the ‘Evil Called Barack Obama’ Enabled the Genocide of Nigerian Christians","27.33","17"
"Israel, Hamas agree to cease-fire to end bloody 11-day war","-1.67","47.67"
"Netanyahu's prospects bolstered amid Israel-Hamas fighting","-3","44.33"
"Statement: AP ‘horrified’ by Israeli attack on its office","0","41"
"Israel strikes Gaza home of Hamas leader, destroys AP office","-1.33","46.33"
"GOP dumps defiant Trump critic Cheney from top House post","-3","42.67"
"Georgia governor: Loss of All-Star game will hurt minorities","-1.33","49"
"Coming out of the cave: As life creeps back, some feel dread","-2","45.33"
"Georgia governor vows a fight after MLB yanks All-Star Game","1","47.33"
"Deadly breach could delay decisions about Capitol fencing","-1","48"
"COVID relief bill could permanently alter social safety net","-5","48"
"Mr. Potato Head drops the mister, sort of","-2.33","48"
"Democratic voting bill would make biggest changes in decades","-3.67","44.33"
"‘Horrible’: Witnesses recall massacre in Ethiopian holy city","0","57.67"
"Trump can’t hang on to lawyers after false election claims","-1.67","46"
"A glance at Rep. Marjorie Taylor Greene’s incendiary words","-1.5","51.25"
"Chicago teachers vote to teach from home, defying district","-3.33","46"
"Trump did leave Oval Office note to Biden, says press aide","-1.33","45"
"The Latest: Hawley blocks quick confirmation of DHS nominee","-1.33","46.33"
"Top Missouri GOP donor Sam Fox disavows Sen. Josh Hawley","-1.67","45"
"The day my ‘second home,’ the Capitol, was overtaken by mob","-1.67","45.33"
"2 men in high-profile photos among latest charged in DC riot","0","47.33"
"No surprise: Trump left many clues he wouldn’t go quietly","-12","37.67"
"Mob at U.S. Capitol encouraged by online conspiracy theories","-2","47.67"
"Electoral College makes it official: Biden won, Trump lost","-5.5","47.5"
"Family demands release of evidence in Breonna Taylor’s case","-3.67","46.33"
"Daily Star Editorial Board: The U.S. is a democracy, no matter what Trump wants","-1.67","37.33"
"Driving-while-texting ban to span Arizona in 2021","0","44.33"
"Road Runner reviews 2020 Tucson road projects and previews what's to come","0","48"
"With teen suicide on the rise, Tucson educators struggle to prioritize mental health","0","46.67"
"Tucson park ramadas closed again amid rise in COVID-19 cases","-1.25","48.25"
"Some Pima County employees told to stay home for three weeks to stop COVID-19 spike","-1.17","47.67"
"Letter: White House misses COVID response big time","-13.5","30"
"Weatherization program belled for helping seniors","0","37"
"Make Way for Books provides early reading opportunities for children","-0.33","38.67"
"Habitat for Humanity Tucson builds affordable housing for low-income families","-1.67","39.67"
"Interfaith Community Services helps families make ends meet","-0.67","42"
"Pima County health officials: Hospitals will be overwhelmed in three weeks","-2.33","49.33"
"Western Women: Pauline O'Neill was Arizona suffragist, state lawmaker","0","48"
"Pima County to open new drive thru COVID-19 testing sites","0","47.67"
"Road Runner: ADOT distracted driving campaign shows true dangers of inattention","0","48"
"Reid Park Zoo prepares for major expansion this spring","-1","54"
"Greg Hansen: Arizona's old way of recruiting didn't work. Maybe Sean Miller's new approach will.","0","37.33"
"Pedestrian struck, killed on Tucson's northwest side","0","50.33"
"Kelly unveils transition team as McSally remains silent on election outcome","-2.33","46.67"
"Political Notebook: Councilman Kozachik laid off from University of Arizona, O'Halleran re-elected","-1.33","47.67"
"Return of season brings 'sense of normalcy' for cross country runners — even with new rules","-0.67","46"
"UA-led space mission makes history with five-second stop on asteroid Bennu","-0.67","49"
"Tucson police: Teen driver dies in east-side crash","0","51.33"
"Arizona counties can start counting early ballots now","0","51.8"
"Cheers, chants greet Trump in Tucson campaign stop","3.67","43.67"
"Chief still concerned about the demands on soldiers","3.67","44.67"
"2020 saw the Guard used the most since World War II. Is a retention crisis looming?","1.67","45.67"
"Massachusetts soldier who died in Egypt helicopter crash remembered for helping others","0","49"
"Ex-Green Beret charged with Russian espionage to enter plea","0","48.67"
"MPs handcuff, detain National Guard chaplain in Kuwait ... for wearing headphones","0","43.33"
"First basic training class nationwide graduates in new Army Green Service Uniform","0","50"
"Former Army Green Beret pleads guilty to divulging military secrets to Russia","0","49"
"5 lesser-known details about ‘Black Hawk Down’","0","49.33"
"These military kids found an ingenious way to talk to their deployed dad","0","49.67"
"Sexual assault and harassment prevention program ‘hasn’t achieved its mandate,’ says Army secretary","0","49.33"
"SFAB fends off an invasion in exercise ahead of Indo-Pacific missions","0","46"
"This Army specialist came up with simple fix for moving heavy stuff","0","48"
"New Army research breakthrough could lead to more powerful lasers","0","48.33"
"Former Texas Army Guard soldier sentenced for stealing military gear, selling it on eBay","0","46.67"
"Army reservist dies of COVID-19 complications in Florida","0","53.67"
"Rare fungal infections that destroy eyeballs and kill are on the rise in India","0","49"
"“Complete incompetence:” Biden team slams Trump’s COVID work","-8.33","44.67"
"US declares Xiaomi a “Communist Chinese military company,” bans investments","2.33","45"
"EU warns that it may break up Big Tech companies","-1.67","47.33"
"Pinterest agrees to $22.5 million settlement in discrimination lawsuit","0","48.33"
"Uber defends sexual assault victims’ privacy, gets fined $59 million","-0.67","46.67"
"Bitcoin price passes $20,000, setting new record","1","44"
"Twitter repeals retweet roadblocks, Facebook follows suit","0","46.25"
"Google committed “antitrust evils,” colluded with Facebook, new lawsuit says","0","44.67"
"Microsoft is reportedly added to the growing list of victims in SolarWinds hack","0","48"
"Finger-pointing abounds as states get fewer vaccines than planned","-3.67","44.67"
"Law banning “rental” fees for customer-owned routers takes effect Sunday","0","45.33"
"US government bans tech exports to top drone maker DJI","0","46.67"
"Second COVID vaccine approved for use in the US","0","47.67"
"Kazakhstan spies on citizens’ HTTPS traffic; browser-makers fight back","0","49"
"Zero-click iMessage zero-day used to hack the iPhones of 36 journalists","-1","47"
"Pornhub squarely targeted in bipartisan bill to regulate sex work online","-3","43.33"
"Ajit Pai announces departure from FCC after four-year deregulatory blitz","-4.33","46"
"Nothing to see here, folks: No NYE fireworks planned in Aspen","-0.33","43.33"
"Judge dismisses several water uses in White River reservoir case","-1.33","47.67"
"High Country: The Top 10 Cannabis Strains of 2020","-1","37.67"
"Eagle County rolls out COVID-19 vaccines for residents 70 and older","0","51"
"Pitkin County’s incidence rate is 3rd highest in Colorado","0","47.67"
"Bolstering the toolbox of first responders in fight against COVID-19","0","47.67"
"Hundreds line up for space-heater distribution in Aspen after day-long gas outage","0","48"
"Faces of the Pandemic: Through the lens of a TSA agent","0","45.33"
"Aspen investigation continues as natural gas comes back, along with heat","0","51"
"Aspen declares state of emergency due to gas outage","0","49.67"
"Aspen-area party businesses warned not to violate health order","-1","46.33"
"Going above and beyond to feed the hungry during Christmas week","-1","46.67"
"Skier killed in Berthoud Pass avalanche near Winter Park Resort marks fourth death this season","0","47.67"
"Vandalism causes disruptions to Aspen gas service, energy company says","0","47.33"
"“Faces of the Pandemic”: Leading under pressure during an unprecedented year","0","38.67"
"‘My African-American Brothers and Sisters’: Fauci Attempts to Calm Concerns of Black Community About COVID-19 Vaccine with Focus on Black Lead Scientist","-6","44.67"
"Black Former Detective Files Lawsuit Alleging He Was Intentionally Run Over By Rural Kansas Deputy After Running from Traffic Stop: ‘I Ran for My Life’","-6","45.67"
"Supreme Court Considers Challenge to Convictions Made Under ‘Racist’ Jury Laws That Allowed Defendants to be Convicted Without a Unanimous Vote","-5","45.33"
"‘This Is a Classic Defense’: Ohio Deputy Who Gunned Down Casey Goodson Has Yet to Submit to Questioning as He Claims Goodson Pointed Gun at Him","-5.67","44.67"
"‘Jim Crow Strategy’: Trump Files Lawsuit In Wisconsin Targeting 200,000 Votes In Two Counties with Highest Number of Black Voters","-4.67","47.33"
"Biden Nominates Retired Army Gen. Lloyd Austin as Secretary of Defense, Marking the First Time a Black Leader Would Run the Pentagon","-1","48.33"
"‘Couldn’t Be My Kid’: LeBron James Is Outraged Over Video Showing 9-Year-Old Football Player Being Struck By Coach","0","44.83"
"He Was Blind, She Was His Reader: The Sweet Love Story Behind the Viral Photo That Thrust a Detroit Couple Into the Spotlight","0","48.67"
"Michigan Man Who Spent Four Decades In Prison Exonerated After Witness Admits She Fabricated Her Story","-1.33","48.67"
"Barack Obama Clarifies ‘Defund the Police’ Comments, Says People Need to be ‘Persuaded’ to Get the ‘Result We Want’","-9","40.33"
"Boko Haram Claims It Is Behind Last Week’s Kidnapping of Hundreds of Nigerian Schoolboys","0","47"
"Philadelphia Man Becomes First Black Acceptant Into Groundbreaking Biotech Graduate Program at His University","-0.67","45.67"
"Trump’s Mar-a-Lago Neighbors Pen Letter to Prevent Him from Moving to the Private Club, Urge Him to Find Another ‘Lovely’ Estate Elsewhere","-5.67","42.33"
"Minnesota Man Sentenced to Life As a Teenager Walks Free After 18 Years As Investigations Find His Murder Conviction Was Tainted","-2.67","43.67"
"Kentucky AG Admits Homicide Charges Were Never Presented Shortly After Agreeing to Release Breonna Taylor Grand Jury Recordings","-7.33","48"
"Our View: Marching backward into history","-9.75","38.75"
"What is the difference between a pardon, clemency and commutation?","0","53.33"
"Ossoff, Warnock likely to be sworn in before Senate impeachment trial","0","47"
"AJC Interview: Kemp blasts ‘ridiculous’ attacks over refusal to overturn election","0.67","46"
"Loeffler disavows photo taken with longtime white supremacist","-4.25","40.5"
"Georgia elections head says Graham questioned absentee rejections","-2.33","43"
"Georgia colleges work on plan to improve mental health on campuses","-1.67","43.33"
"‘More people may die’: Joe Biden urges president to aid transition","-5","46"
"With Senate on the line, Georgia leaders tell out-of-state supporters to stay home","-2","44.33"
"Georgia man drove nearly 1,000 miles to secure his vote","-2.67","44"
"Kanye West reportedly concedes defeat, ending 2020 race","-2.67","39.67"
"Georgia voter anxiety at a high as election saga drags on","-4.67","42.33"
"Even with PPE, front-line workers face three times the risk of COVID","0","47.67"
"Michigan man accused of threatening Georgia Rep. Hank Johnson in voicemail","-0.67","46.67"
"John Lewis: Man of the people","-5","46.67"
"1 dead after triple shooting at SW Atlanta apartment complex","0.67","48.67"
"C.T. Vivian at the Georgia Capitol","-3","47.33"
"Georgia may push statewide start date of Sept. 8 for schools","-1.67","43.33"
"Latest Gaza conflict fuels anti-Semitism, Islamophobia across U.S., Europe","0","50"
"Progressives Dems vote against Capitol security funding to protest policing","-8","38.33"
"Axios - May 9, 2021","-15","40.33"
"Israel calls on Biden administration to stay out of Jerusalem crisis","-3","44.67"
"How government intervention has created a new housing bubble","0","39.33"
"Joe Rogan walks back anti-vaccination comments: ""I'm a f***-ing moron""","-2.67","44.33"
"Senate confirms Bill Nelson as NASA administrator","-1","48"
"Trump to claim total control of GOP with first post-presidency speech","-1.33","45.67"
"Off the rails: Inside the craziest meeting of the Trump presidency","-4.67","55.67"
"Capitol secured hours after mob breach","-3","48.67"
"Inslee says Americans should vote out anyone who ""downplays"" climate change","-14.5","40"
"McCloskeys endorse Trump at RNC","-5.4","46.2"
"Elliott Abrams to replace Brian Hook as Trump's Iran envoy","-1.67","47.67"
"Commission rejects Trump campaign request for 4th debate","-3.67","49"
"CRISPR co-discoverer says gene editing may help fight future pandemics","-2.67","48.33"
"Pelosi, Schumer demand postmaster general reverse USPS cuts ahead of election","-7","43"
"Cities resist as Trump stakes re-election hopes on ""law and order""","-9","48"
"California breaks record with over 12,000 new coronavirus cases","-2","48.33"
"Americans set new monthly record for buying existing homes","-2.67","38"
"Trump announces ""surge"" of federal law enforcement to Chicago and Albuquerque","-7.33","43.33"
"Coronavirus dashboard: Catch up fast","-0.67","50.67"
"House Dems open investigation into Trump's alleged pardon offer to DHS chief","-9.33","42"
"Buttigieg confronted by protestor in Iowa about his sexuality","-3.67","51"
"Trump vetoes resolution to end U.S. involvement in Yemen","-5.25","47"
"Main Street's salon boom","-1.33","52"
"Wait, wouldn't a Jan. 6 commission prove 'the left' caused the Capitol riot?","-11.33","36.67"
"Experts call for federal monitors of Arizona Senate election audit, citing violations of voting laws","-6.17","46.17"
"New normals: The Southwest has grown hotter and drier over the past decade, data shows","-3.33","47"
"Arizona Sikh community mourns loss of victims in Indianapolis shooting","0","45.67"
"https://www.azcentral.com/story/news/local/arizona-health/2020/12/07/arizona-coronavirus-live-news-updates-covid-19-pandemic/3857799001/","0","48"
"https://www.azcentral.com/story/news/local/phoenix/2020/12/13/heres-best-way-help-7-419-homeless-people-metro-phoenix/6465805002/","-1.67","45.33"
"https://www.azcentral.com/story/opinion/op-ed/robertrobb/2020/12/13/what-do-republicans-believe-in-once-trump-gone/3887082001/","-15.33","31"
"https://www.azcentral.com/story/money/business/consumers/2020/12/13/retirement-rule-changes-know-401-k-plans-and-iras-2020-ends/6488225002/","1","48"
"5 Scottsdale Unified School District schools closed Monday due to lack of staffing","-1","46.33"
"Navajo and Hopi voters turn out in force on Election Day, hoping for a clear voice","0","51.33"
"Arizona reports highest number of new cases since Aug. 1 as hospitalizations continue to rise","-0.5","53"
"The federal government gives Native students an inadequate education and gets away with it","-2.88","46.88"
"'Stars aligned' to get Trump, Rep. Raul Grijalva on same side of issue","-5.67","43"
"The cost of applying for U.S. citizenship is dramatically increasing","1.33","45.67"
"Donald Trump tops Joe Biden in July fundraising by $25M, but cash-on-hand advantage erased","1.33","43.33"
"Arizonans set record for expanded jobless benefit claims as program's expiration looms","-3","48"
"'Not ready': Teachers across Arizona stage 'motor marches' to protest school reopenings","-3","46.67"
"Arizona COVID-19 milestones: Cases surpass 150,000, deaths approach 3,000","2.83","40.83"
"COVID-19 modelers suggest keeping current restrictions in place for now. Here's why","-0.17","42.17"
"Biden’s restrained response to worsening Israeli-Palestinian conflict falls short | COMMENTARY","-8.33","39"
"Maryland Gov. Hogan orders nursing homes to report staff, resident COVID vaccinations weekly","-1","46"
"Carroll County sheriff condemns George Floyd’s killer, says public shouldn’t condemn police","2.33","42"
"Republicans are fabricating the border crisis | COMMENTARY","-14","32.83"
"How shocking that the GOP now has a QAnon problem in its ranks | COMMENTARY","-15.33","28.33"
"Ellicott City flood mitigation projects to begin construction within 18 months, Howard County announces","0","52.67"
